Id,CourseName,CourseDepartment,CourseNumber,CRN,Term,Year,Enrolled,Cap,Periods,FinalSchedule,Instructor,Credits,Section
16059,MA223,MA,223,2364,20,2014,29,25,MTRF/3/O205,R at 8am in TBA,evans,4,1
16060,MA212,MA,212,2359,20,2014,0,0,TBA,,tba,4,8
16061,MA212,MA,212,2360,20,2014,31,28,MTRF/1/G315,W at 6pm in TBA,shibberu,4,9
16062,MA223,MA,223,2365,20,2014,25,25,MTRF/4/O205,R at 8am in TBA,evans,4,2
16063,MA275,MA,275,2367,20,2014,28,25,MTRF/5/G313,M at 1pm in TBA,mcsweene,4,1
16064,MA275,MA,275,2368,20,2014,25,25,MTRF/2/G313,M at 1pm in TBA,holder1,4,2
16065,MA223,MA,223,2366,20,2014,26,25,MTRF/7/G317,R at 8am in TBA,rader,4,3
16066,MA332,MA,332,2369,20,2014,12,25,MTRF/5/G220,T at 8am in TBA,leader,4,1
16067,MA275,MA,275,2590,20,2014,24,25,MTRF/7/G313,M at 1pm in TBA,mcsweene,4,3
16068,MA223,MA,223,2589,20,2014,19,25,MTRF/5/G308,R at 8am in TBA,brought,4,4
16069,MA366,MA,366,2370,20,2014,15,15,MTRF/6/G220,T at 1pm in TBA,carlisle,4,1
16070,MA366,MA,366,2371,20,2014,15,15,MTRF/4/G220,,rickert,4,2
16071,MA373,MA,373,2372,20,2014,24,25,MTRF/3/G308,W at 6pm in TBA,isaia,4,1
16072,MA375,MA,375,2375,20,2014,24,25,MTRF/9/O203-1,M at 1pm in TBA,holden,4,3
16073,MA381,MA,381,2376,20,2014,27,25,MTRF/6/G317,T at 1pm in TBA,langley,4,1
16074,MA375,MA,375,2374,20,2014,24,25,MTRF/8/O203-1,M at 1pm in TBA,holden,4,2
16075,MA385,MA,385,2378,20,2014,24,30,MTRF/7/O203,R at 8am in TBA,evans,4,1
16076,MA375,MA,375,2373,20,2014,28,25,MTRF/4/G313,M at 1pm in TBA,grimaldi,4,1
16077,MA381,MA,381,2377,20,2014,24,25,MTRF/3/G313,T at 1pm in TBA,rader,4,2
16078,MA381,MA,381,2591,20,2014,21,25,MTRF/9/G315,T at 1pm in TBA,mcsweene,4,3
16079,MA430,MA,430,2381,20,2014,6,25,MTRF/4/CL119,M at 1pm in TBA,finn,4,1
16080,MA434,MA,434,2658,20,2014,1,1,TBA/TBA/TBA,,leader,4,1
16081,MA435,MA,435,2383,20,2014,3,25,MTRF/5/DL119,,eichholz,4,1
16082,MA390,MA,390,2379,20,2014,12,25,W/7/G310,,graves,1,1
16083,MA433,MA,433,2382,20,2014,18,25,MTRF/2/G308,R at 8am in TBA,bryan,4,1
